p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.293872055479596,0.752,0.173,0,0,Cxcl16
0,0.8166182630984442,0.815,0.237,0,0,Cd52
0,1.7629954203769773,0.848,0.271,0,0,Ucp2
0,2.3853893401082926,0.71,0.134,0,0,Clec4a1
0,3.3805114802293077,0.667,0.092,0,0,Mrc1
0,2.4460509245244455,0.781,0.208,0,0,Sirpa
0,2.313761674675143,0.712,0.148,0,0,Cfp
0,2.3641626414266668,0.708,0.144,0,0,Ccl6
0,2.7873703624186836,0.792,0.229,0,0,Plin2
0,1.8672117648290438,0.854,0.291,0,0,Cotl1
0,2.1882767833352847,0.805,0.245,0,0,Pltp
0,2.3158633971628007,0.797,0.242,0,0,Mafb
0,2.090964891035027,0.74,0.188,0,0,Tpd52
0,4.798089803216552,0.584,0.034,0,0,Syngr1
0,2.3278703866505452,0.696,0.15,0,0,Cd48
0,2.091521439365436,0.809,0.264,0,0,Rgs10
0,2.3771182895937555,0.675,0.135,0,0,Lilrb4a
0,2.1751139986557786,0.714,0.177,0,0,Ccl9
0,2.1048509939110374,0.798,0.271,0,0,Snx5
0,2.113636305175257,0.837,0.31,0,0,Ctsa
0,3.448263786441818,0.593,0.069,0,0,Clec4d
0,3.07869409181034,0.624,0.1,0,0,Stab1
0,3.1863124986969544,0.598,0.075,0,0,Cd84
0,1.950612612967292,0.704,0.182,0,0,Gmfg
0,3.854446348725117,0.673,0.152,0,0,Hmox1
0,1.8936895536316167,0.765,0.245,0,0,Efhd2
0,2.7359514251268293,0.724,0.211,0,0,Creg1
0,2.603262983756995,0.757,0.244,0,0,Dab2
0,1.3864088341431466,0.774,0.263,0,0,Ifi30
0,3.4319221301804346,0.584,0.074,0,0,F13a1
0,1.8689964289160763,0.644,0.138,0,0,Clec4a3
0,2.294842543682716,0.776,0.272,0,0,Blvrb
0,2.3427788010995925,0.662,0.166,0,0,Cndp2
0,0.8346893835797196,0.712,0.217,0,0,Coro1a
0,2.484801262577991,0.662,0.169,0,0,Abca1
0,2.078315564090687,0.881,0.388,0,0,Hexa
0,1.8574356764786297,0.633,0.143,0,0,Cd14
0,2.232103589948816,0.618,0.131,0,0,Cybb
0,1.2131996579596231,0.783,0.297,0,0,Arhgdib
0,2.230242088003278,0.612,0.127,0,0,Pirb
0,2.7765747297779373,0.565,0.086,0,0,P2ry6
0,1.3956216509732702,0.854,0.376,0,0,Ctsh
0,2.156384739911045,0.604,0.126,0,0,Ms4a6b
0,1.8448406264359167,0.734,0.261,0,0,Gltp
0,2.4601587189965963,0.661,0.189,0,0,Maf
0,2.5986310385702374,0.576,0.106,0,0,Tmem106a
0,2.3241854506190465,0.987,0.518,0,0,Cyba
0,2.1680909255365437,0.637,0.168,0,0,Trf
0,1.338657047993475,0.693,0.225,0,0,Fam49b
0,1.951479724763394,0.667,0.202,0,0,Pycard
0,1.9438645555699265,0.942,0.478,0,0,Sdcbp
0,2.6722182827089354,0.919,0.458,0,0,Lgals3
0,2.1078962093596987,0.59,0.129,0,0,Plek
0,1.7061172156425197,0.614,0.157,0,0,Pld4
